"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Plank",,"",0,"normal",,0,,39,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Lat Pulldown (Cavo)",,"",0,"normal",40,7,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Lat Pulldown (Cavo)",,"",1,"normal",35,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Lat Pulldown (Cavo)",,"",2,"normal",35,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Lat Pulldown (Cavo)",,"",3,"normal",35,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Rematore Manubrio",,"",0,"normal",14,6,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Rematore Manubrio",,"",1,"normal",14,6,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Rematore Manubrio",,"",2,"normal",14,6,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Aperture Laterali (Manubrio)",,"",0,"normal",4,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Aperture Laterali (Manubrio)",,"",1,"normal",4,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Aperture Laterali (Manubrio)",,"",2,"normal",4,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Aperture Laterali (Manubrio)",,"",3,"normal",4,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Curl Bicipiti (Manubrio)",,"",0,"normal",7,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Curl Bicipiti (Manubrio)",,"",1,"normal",7,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Curl Bicipiti (Manubrio)",,"",2,"normal",7,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Estensione Tricipiti (Manubrio)",,"",0,"normal",10,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Estensione Tricipiti (Manubrio)",,"",1,"normal",8,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Estensione Tricipiti (Manubrio)",,"",2,"normal",10,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Estensione Tricipiti (Manubrio)",,"",3,"normal",10,8,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Cable Crunch",,"",0,"normal",15,10,,0,
"Giorno B","18 ago 2026, 12:27","18 ago 2026, 13:30","","Cable Crunch",,"",1,"normal",15,10,,0,
